player_name,season,wk,Game_date,OPP,Result,AST,PDEF
Nick Allegretti,Regular Season,14,12/13/2020,Dolphins,W 33 - 27,,
Nick Allegretti,Regular Season,13,12/07/2020,Broncos,W 22 - 16,,
Nick Allegretti,Regular Season,12,11/29/2020,Buccaneers,W 27 - 24,,
Nick Allegretti,Regular Season,11,11/23/2020,Raiders,W 35 - 31,,
Nick Allegretti,Regular Season,9,11/08/2020,Panthers,W 33 - 31,,
Nick Allegretti,Regular Season,8,11/01/2020,Jets,W 35 - 9,,
Nick Allegretti,Regular Season,3,09/29/2020,Ravens,W 34 - 20,,
Nick Allegretti,Regular Season,7,10/25/2020,Broncos,W 43 - 16,,
Nick Allegretti,Regular Season,2,09/20/2020,Chargers,W 23 - 20,,
Nick Allegretti,Regular Season,6,10/19/2020,Bills,W 26 - 17,,
Nick Allegretti,Regular Season,1,09/11/2020,Texans,W 34 - 20,,
Nick Allegretti,Regular Season,5,10/11/2020,Raiders,L 32 - 40,,
Nick Allegretti,Regular Season,4,10/05/2020,Patriots,W 26 - 10,,
Nick Allegretti,Post Season,2,01/17/2021,Browns,W 22 - 17,,
Brian Allen,Regular Season,17,01/03/2021,Cardinals,W 18 - 7,,
Brian Allen,Regular Season,16,12/27/2020,Seahawks,L 9 - 20,,
Brian Allen,Regular Season,15,12/20/2020,Jets,L 20 - 23,,
Brian Allen,Regular Season,14,12/11/2020,Patriots,W 24 - 3,,
Brian Allen,Regular Season,13,12/06/2020,Cardinals,W 38 - 28,,
Brian Allen,Regular Season,12,11/29/2020,49ers,L 20 - 23,,
Brian Allen,Regular Season,11,11/24/2020,Buccaneers,W 27 - 24,,
Brian Allen,Regular Season,10,11/15/2020,Seahawks,W 23 - 16,,
Brian Allen,Regular Season,8,11/01/2020,Dolphins,L 17 - 28,,
Brian Allen,Regular Season,3,09/27/2020,Bills,L 32 - 35,,
Brian Allen,Regular Season,7,10/27/2020,Bears,W 24 - 10,,
Brian Allen,Regular Season,6,10/19/2020,49ers,L 16 - 24,,
Brian Allen,Regular Season,1,09/14/2020,Cowboys,W 20 - 17,,
Brian Allen,Regular Season,5,10/11/2020,Football Team,W 30 - 10,,
Brian Allen,Regular Season,4,10/04/2020,Giants,W 17 - 9,,
Brian Allen,Regular Season,2,09/20/2020,Eagles,W 37 - 19,,
Brian Allen,Post Season,2,01/16/2021,Packers,L 18 - 32,,
Brian Allen,Post Season,1,01/09/2021,Seahawks,W 30 - 20,,
Mo Alie-Cox,Regular Season,17,01/03/2021,Jaguars,W 28 - 14,,
Mo Alie-Cox,Regular Season,16,12/27/2020,Steelers,L 24 - 28,20,
Mo Alie-Cox,Regular Season,15,12/20/2020,Texans,W 27 - 20,7,
Mo Alie-Cox,Regular Season,14,12/13/2020,Raiders,W 44 - 27,9,
Mo Alie-Cox,Regular Season,13,12/06/2020,Texans,W 26 - 20,7.7,
Mo Alie-Cox,Regular Season,12,11/29/2020,Titans,L 26 - 45,9.5,
Mo Alie-Cox,Regular Season,11,11/22/2020,Packers,W 34 - 31,8,
Mo Alie-Cox,Regular Season,10,11/13/2020,Titans,W 34 - 17,6.3,
Mo Alie-Cox,Regular Season,9,11/08/2020,Ravens,L 10 - 24,14.3,
Mo Alie-Cox,Regular Season,8,11/01/2020,Lions,W 41 - 21,12.3,
Mo Alie-Cox,Regular Season,3,09/27/2020,Jets,W 36 - 7,16.7,
Mo Alie-Cox,Regular Season,6,10/18/2020,Bengals,W 31 - 27,,
Mo Alie-Cox,Regular Season,5,10/11/2020,Browns,L 23 - 32,,
Mo Alie-Cox,Regular Season,4,10/04/2020,Bears,W 19 - 11,13,
Mo Alie-Cox,Regular Season,2,09/20/2020,Vikings,W 28 - 11,22.2,
Mo Alie-Cox,Regular Season,1,09/13/2020,Jaguars,L 20 - 27,10,
Mo Alie-Cox,Post Season,1,01/09/2021,Bills,L 24 - 27,8,
Brian Allen,Regular Season,5,10/11/2020,49ers,W 43 - 17,0,0
Brian Allen,Post Season,2,01/17/2021,Chiefs,L 17 - 22,,
Brian Allen,Post Season,1,01/11/2021,Steelers,W 48 - 37,,
Brandon Allen,Regular Season,17,01/03/2021,Ravens,L 3 - 38,48,2
Brandon Allen,Regular Season,16,12/27/2020,Texans,W 37 - 31,371,0
Brandon Allen,Regular Season,15,12/22/2020,Steelers,W 27 - 17,,
Brandon Allen,Regular Season,14,12/13/2020,Cowboys,L 7 - 30,217,0
Brandon Allen,Regular Season,13,12/06/2020,Dolphins,L 7 - 19,153,1
Brandon Allen,Regular Season,12,11/29/2020,Giants,L 17 - 19,136,1
Dakota Allen,Regular Season,17,01/03/2021,Colts,L 14 - 28,0,0
Dakota Allen,Regular Season,16,12/27/2020,Bears,L 17 - 41,,
Dakota Allen,Regular Season,15,12/20/2020,Ravens,L 14 - 40,,
Dakota Allen,Regular Season,14,12/13/2020,Titans,L 10 - 31,0,0
Dakota Allen,Regular Season,13,12/06/2020,Vikings,L 24 - 27,,
Dakota Allen,Regular Season,12,11/29/2020,Browns,L 25 - 27,,
Dakota Allen,Regular Season,11,11/22/2020,Steelers,L 3 - 27,,
Dakota Allen,Regular Season,10,11/15/2020,Packers,L 20 - 24,,
Dakota Allen,Regular Season,9,11/08/2020,Texans,L 25 - 27,,
Dakota Allen,Regular Season,3,09/25/2020,Dolphins,L 13 - 31,0,0
Dakota Allen,Regular Season,7,10/25/2020,Chargers,L 29 - 39,0,0
Dakota Allen,Regular Season,2,09/20/2020,Titans,L 30 - 33,,
Dakota Allen,Regular Season,6,10/18/2020,Lions,L 16 - 34,,
Dakota Allen,Regular Season,5,10/11/2020,Texans,L 14 - 30,2,0
Dakota Allen,Regular Season,4,10/04/2020,Bengals,L 25 - 33,4,0
Dakota Allen,Regular Season,1,09/13/2020,Colts,W 27 - 20,,
Jonathan Allen,Regular Season,17,01/04/2021,Eagles,W 20 - 14,3,0
