player_name,season,wk,Game_date,OPP,Result,AST,PDEF,page_url
James Washington,Regular Season,11,11/22/2020,Jaguars,W 27 - 3,12,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,10,11/15/2020,Bengals,W 36 - 10,15,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,9,11/08/2020,Cowboys,W 24 - 19,17,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,8,11/01/2020,Ravens,W 28 - 24,,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,7,10/25/2020,Titans,W 27 - 24,,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,2,09/20/2020,Broncos,W 26 - 21,7.3,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,6,10/18/2020,Browns,W 38 - 7,17,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,1,09/14/2020,Giants,W 26 - 16,17,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,5,10/11/2020,Eagles,W 38 - 29,8.3,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Regular Season,3,09/27/2020,Texans,W 28 - 21,7.2,,https://www.nfl.com/players/james-washington/stats/logs/
James Washington,Post Season,1,01/11/2021,Browns,L 37 - 48,14.4,,https://www.nfl.com/players/james-washington/stats/logs/
Earl Watford,Post Season,2,01/17/2021,Saints,W 30 - 20,,,https://www.nfl.com/players/earl-watford/stats/logs/
Quez Watkins,Regular Season,17,01/04/2021,Football Team,L 14 - 20,6,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,16,12/27/2020,Cowboys,L 17 - 37,28.5,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,15,12/20/2020,Cardinals,L 26 - 33,13.3,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,14,12/13/2020,Saints,W 24 - 21,3,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,13,12/06/2020,Packers,L 16 - 30,,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,12,12/01/2020,Seahawks,L 17 - 23,,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,11,11/22/2020,Browns,L 17 - 22,,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,10,11/15/2020,Giants,L 17 - 27,,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,8,11/02/2020,Cowboys,W 23 - 9,,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,7,10/23/2020,Giants,W 22 - 21,,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,6,10/18/2020,Ravens,L 28 - 30,,,https://www.nfl.com/players/quez-watkins/stats/logs/
Quez Watkins,Regular Season,5,10/11/2020,Steelers,L 29 - 38,,,https://www.nfl.com/players/quez-watkins/stats/logs/
Carlos Watkins,Regular Season,17,01/03/2021,Titans,L 38 - 41,2,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
Carlos Watkins,Regular Season,16,12/27/2020,Bengals,L 31 - 37,1,0,https://www.nfl.com/players/carlos-watkins/stats/logs/
